id,nombre,municipio_id,nombre_municipio,longitud,latitud,tipo,Hora_Apertura,Hora_Cierre,Tiempo_Prom_Estancia,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
185,Centro Regional de Cultura de Texcoco Casa del Constituyente,99,Texcoco,-98.87974,19.51379,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
186,Centro Cultural Mexiquense Bicentenario,99,Texcoco,-98.89953,19.45251,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
187,Casa de Cultura Tezoyuca Nahui Olin,100,Tezoyuca,-98.9063,19.59127,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
188,Casa de Cultura Profr. Carlos Hank González,101,Tianguistenco,-99.46745,19.18407,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
189,Módulo Cultural Multifuncional Santiago Tianguistenco,101,Tianguistenco,-99.51751,19.19658,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
190,Casa de Cultura Lic. Adolfo López Mateos,102,Timilpan,-99.73401,19.8752,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
191,Casa de Cultura Xochipilli,103,Tlalmanalco,-98.8033,19.20593,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
192,Centro de la Cultura y las Artes José Emilio Pacheco,104,Tlalnepantla de Baz,-99.19574,19.53649,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
193,Casa de Cultura Pedro Labrada Cervantes,104,Tlalnepantla de Baz,-99.08512,19.5316,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
194,Casa de Cultura Lázaro Cárdenas,104,Tlalnepantla de Baz,-99.11942,19.53437,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
195,Casa de Cultura José María Velasco,104,Tlalnepantla de Baz,-99.21174,19.5708,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
196,Casa de Cultura Luis Donaldo Colosio,104,Tlalnepantla de Baz,-99.18746,19.57206,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
198,Casa de Cultura Lic. Javier Pérez Olegaray,104,Tlalnepantla de Baz,-99.18502,19.5524,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
199,Casa de Cultura El Arenal,104,Tlalnepantla de Baz,-99.16408,19.53008,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
200,Casa de Cultura José C. Ángeles,104,Tlalnepantla de Baz,-99.0887,19.51612,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
201,Casa de Cultura Lomas de San Andrés,104,Tlalnepantla de Baz,-99.22721,19.54295,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
202,Casa de Cultura San Felipe Ixtacala,104,Tlalnepantla de Baz,-99.17136,19.52161,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
203,Casa de Cultura Prado Vallejo,104,Tlalnepantla de Baz,-99.16581,19.50594,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
204,Casa de Cultura Guillermo Padilla Díaz de León,104,Tlalnepantla de Baz,-99.17366,19.55109,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
206,Casa de Cultura Izcalli Pirámide,104,Tlalnepantla de Baz,-99.17432,19.54222,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
207,Centro Cultural Rombo Negro,104,Tlalnepantla de Baz,-99.195,19.53852,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
208,Casa de Cultura Loma Bonita (Temporalmente cerrado),104,Tlalnepantla de Baz,-99.17836,19.55936,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
209,Casa de Cultura San Lucas Tepetlacalco (Temporalmente cerrado),104,Tlalnepantla de Baz,-99.22711,19.52434,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
210,Casa de Cultura Vista Hermosa,104,Tlalnepantla de Baz,-99.22293,19.51843,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
211,Centro Tolzú,106,Toluca,-99.65236,19.29028,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
212,Centro Toluqueño de Escritores,106,Toluca,-99.65605,19.29122,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
213,Centro Regional de Cultura de Toluca,106,Toluca,-99.65369,19.27205,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
214,Alianza Francesa de Toluca,106,Toluca,-99.65938,19.29162,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
215,Centro Cultural del ISSSTE de Toluca,106,Toluca,-99.67005,19.29045,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
216,Centro de Actividades Culturales (CEAC),106,Toluca,-99.65159,19.28634,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
217,Centro Cultural Universitario Casa de las Diligencias,106,Toluca,-99.65431,19.29183,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
218,Casa de Cultura de Cacalomacán,106,Toluca,-99.7081,19.25369,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
219,Centro Cultural Mexiquense,106,Toluca,-99.70252,19.27197,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
220,Centro Cultural Tonatiuh,107,Tonatico,-99.67076,18.80207,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
221,Casa de Cultura Reynalda Morales,107,Tonatico,-99.67083,18.80202,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
223,Casa de Cultura Tultitlán,109,Tultitlán,-99.16456,19.64379,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
224,Centro Cultural Ágora Elena Poniatowska,109,Tultitlán,-99.09313,19.67412,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
225,Casa de Cultura y Biblioteca Real del Bosque,109,Tultitlán,-99.14063,19.61654,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
